,ligand,receptor,ligand.name,receptor.name,ligand.synonyms,receptor.synonyms,ligand.altern.names,receptor.altern.names,source,PMIDs,cells.L,cells.R,remarks,Pair.Name,DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor,Pair.Evidence
2029,LPL,LRP2,Lipoprotein lipase,Low-density lipoprotein receptor-related protein 2,LIPD,,LPL || EC 3.1.1.34,LRP-2 || Glycoprotein 330 || gp330 || Megalin,"HPRD,fantom5",7686151,,,,LPL_LRP2,,,,,,,,,
2030,LPL,SDC1,Lipoprotein lipase,Syndecan-1,LIPD,SDC,LPL || EC 3.1.1.34,SYND1 || CD antigen CD138,fantom5,9294130,,,,LPL_SDC1,,,,,,,,,
2031,LPL,VLDLR,Lipoprotein lipase,Very low-density lipoprotein receptor,LIPD,,LPL || EC 3.1.1.34,VLDL receptor || VLDL-R,"fantom5,HPRD",7592875,,,,LPL_VLDLR,,,,,,,,,
2032,LRP1B,PLAUR,Low-density lipoprotein receptor-related protein 1B,Urokinase plasminogen activator surface receptor,LRPDIT,"MO3,UPAR",LRP-1B || Low-density lipoprotein receptor-related protein-deleted in tumor || LRP-DIT,U-PAR || uPAR || Monocyte activation antigen Mo3 || CD antigen CD87,"fantom5,HPRD","11384978,12",,,,LRP1B_PLAUR,,,,,,,,,
2033,LRPAP1,LDLR,Alpha-2-macroglobulin receptor-associated protein,Low-density lipoprotein receptor,A2MRAP,,Alpha-2-MRAP || Low density lipoprotein receptor-related protein-associated protein 1 || RAP,LDL receptor,"HPRD,fantom5",7822276,,,,LRPAP1_LDLR,,,,,,,,,
2034,LRPAP1,LRP1,Alpha-2-macroglobulin receptor-associated protein,Prolow-density lipoprotein receptor-related protein 1,A2MRAP,"A2MR,APR",Alpha-2-MRAP || Low density lipoprotein receptor-related protein-associated protein 1 || RAP,LRP-1 || Alpha-2-macroglobulin receptor || A2MR || Apolipoprotein E receptor || APOER || CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subuni || LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subuni || LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domai || LRPICD),"HPMR,fantom5,HPRD","14596620,10747918,1374383,1718973",,,,LRPAP1_LRP1,,,,,,,,,
2035,LRPAP1,LRP2,Alpha-2-macroglobulin receptor-associated protein,Low-density lipoprotein receptor-related protein 2,A2MRAP,,Alpha-2-MRAP || Low density lipoprotein receptor-related protein-associated protein 1 || RAP,LRP-2 || Glycoprotein 330 || gp330 || Megalin,"HPRD,fantom5",7512726,,,,LRPAP1_LRP2,,,,,,,,,
2036,LRPAP1,LRP8,Alpha-2-macroglobulin receptor-associated protein,Low-density lipoprotein receptor-related protein 8,A2MRAP,APOER2,Alpha-2-MRAP || Low density lipoprotein receptor-related protein-associated protein 1 || RAP,LRP-8 || Apolipoprotein E receptor 2,"HPRD,fantom5",12899622,,,,LRPAP1_LRP8,,,,,,,,,
2037,LRPAP1,SORL1,Alpha-2-macroglobulin receptor-associated protein,Sortilin-related receptor,A2MRAP,C11orf32,Alpha-2-MRAP || Low density lipoprotein receptor-related protein-associated protein 1 || RAP,Low-density lipoprotein receptor relative with 11 ligand-binding repeats || LDLR relative with 11 ligand-binding repeats || LR11 || SorLA-1 || Sorting protein-related receptor containing LDLR class A repeats || SorLA,"fantom5,HPRD","11557679,89",,,,LRPAP1_SORL1,,,,,,,,,
2038,LRPAP1,SORT1,Alpha-2-macroglobulin receptor-associated protein,Sortilin,A2MRAP,,Alpha-2-MRAP || Low density lipoprotein receptor-related protein-associated protein 1 || RAP,100 kDa NT receptor || Glycoprotein 95 || Gp95 || Neurotensin receptor 3 || NT3 || NTR3,"fantom5,HPRD",9013611,,,,LRPAP1_SORT1,,,,,,,,,
2039,LRPAP1,VLDLR,Alpha-2-macroglobulin receptor-associated protein,Very low-density lipoprotein receptor,A2MRAP,,Alpha-2-MRAP || Low density lipoprotein receptor-related protein-associated protein 1 || RAP,VLDL receptor || VLDL-R,"fantom5,HPRD","7592875,106",,,,LRPAP1_VLDLR,,,,,,,,,
2040,LTA,CACHD1,Lymphotoxin-alpha,VWFA and cache domain-containing protein 1,"TNFB,TNFSF1","KIAA1573,VWCD1",LT-alpha || TNF-beta || Tumor necrosis factor ligand superfamily member 1,Cache domain-containing protein 1,fantom5,,,,,LTA_CACHD1,,,,,,,,,
2041,LTA,EDNRA,Lymphotoxin-alpha,Endothelin-1 receptor,"TNFB,TNFSF1","ETA,ETRA",LT-alpha || TNF-beta || Tumor necrosis factor ligand superfamily member 1,Endothelin receptor type A || ET-A || ETA-R || hET-AR,fantom5,,,,,LTA_EDNRA,,,,,,,,,
2042,LTA,LTBR,Lymphotoxin-alpha,Tumor necrosis factor receptor superfamily member 3,"TNFB,TNFSF1","D12S370,TNFCR,TNFR3,TNFRSF3",LT-alpha || TNF-beta || Tumor necrosis factor ligand superfamily member 1,Lymphotoxin-beta receptor || Tumor necrosis factor C receptor || Tumor necrosis factor receptor 2-related protein || Tumor necrosis factor receptor type III || TNF-RIII || TNFR-III,"fantom5,HPRD",8171323,,,,LTA_LTBR,,,,,,,,,
2043,LTA,TNFRSF14,Lymphotoxin-alpha,Tumor necrosis factor receptor superfamily member 14,"TNFB,TNFSF1","HVEA,HVEM,UNQ329/PRO509",LT-alpha || TNF-beta || Tumor necrosis factor ligand superfamily member 1,Herpes virus entry mediator A || Herpesvirus entry mediator A || HveA || Tumor necrosis factor receptor-like 2 || TR2 || CD antigen CD270,"fantom5,IUPHAR,uniprot,HPRD","9153189,946",,,,LTA_TNFRSF14,,,,,,,,,
2044,LTA,TNFRSF1A,Lymphotoxin-alpha,Tumor necrosis factor receptor superfamily member 1A,"TNFB,TNFSF1","TNFAR,TNFR1",LT-alpha || TNF-beta || Tumor necrosis factor ligand superfamily member 1,"Tumor necrosis factor receptor 1 || TNF-R1 || Tumor necrosis factor receptor type I || TNF-RI || TNFR-I || p55 || p60 || CD antigen CD120a) [Cleaved into: Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein  || TBPI)","fantom5,uniprot,IUPHAR,HPRD",8387891,,,,LTA_TNFRSF1A,,,,,,,,,
2045,LTA,TNFRSF1B,Lymphotoxin-alpha,Tumor necrosis factor receptor superfamily member 1B,"TNFB,TNFSF1","TNFBR,TNFR2",LT-alpha || TNF-beta || Tumor necrosis factor ligand superfamily member 1,"Tumor necrosis factor receptor 2 || TNF-R2 || Tumor necrosis factor receptor type II || TNF-RII || TNFR-II || p75 || p80 TNF-alpha receptor || CD antigen CD120b || Etanercept) [Cleaved into: Tumor necrosis factor receptor superfamily member 1b, membrane form; Tumor necrosis factor-binding protein  || TBP-2 || TBPII)","IUPHAR,uniprot,fantom5,HPRD","9552007,8123048,2160731",,,,LTA_TNFRSF1B,,,,,,,,,
2046,LTBP1,ITGB5,Latent-transforming growth factor beta-binding protein 1,Integrin beta-5,,,LTBP-1 || Transforming growth factor beta-1-binding protein 1 || TGF-beta1-BP-1,,"HPRD,fantom5",12358597,,,,LTBP1_ITGB5,,,,,,,,,
2047,LTBP3,ITGB5,Latent-transforming growth factor beta-binding protein 3,Integrin beta-5,,,LTBP-3,,"HPRD,fantom5",12358597,,,,LTBP3_ITGB5,,,,,,,,,
2048,LTB,CD40,Lymphotoxin-beta,Tumor necrosis factor receptor superfamily member 5,"TNFC,TNFSF3",TNFRSF5,LT-beta || Tumor necrosis factor C || TNF-C || Tumor necrosis factor ligand superfamily member 3,B-cell surface antigen CD40 || Bp50 || CD40L receptor || CDw40 || CD antigen CD40,"HPMR,fantom5",7916655,,,,LTB_CD40,,,,,,,,,
2049,LTB,LTBR,Lymphotoxin-beta,Tumor necrosis factor receptor superfamily member 3,"TNFC,TNFSF3","D12S370,TNFCR,TNFR3,TNFRSF3",LT-beta || Tumor necrosis factor C || TNF-C || Tumor necrosis factor ligand superfamily member 3,Lymphotoxin-beta receptor || Tumor necrosis factor C receptor || Tumor necrosis factor receptor 2-related protein || Tumor necrosis factor receptor type III || TNF-RIII || TNFR-III,"HPRD,HPMR,fantom5,uniprot","7995952,792",,,,LTB_LTBR,,,,,,,,,
2050,LTB,TNFRSF1A,Lymphotoxin-beta,Tumor necrosis factor receptor superfamily member 1A,"TNFC,TNFSF3","TNFAR,TNFR1",LT-beta || Tumor necrosis factor C || TNF-C || Tumor necrosis factor ligand superfamily member 3,"Tumor necrosis factor receptor 1 || TNF-R1 || Tumor necrosis factor receptor type I || TNF-RI || TNFR-I || p55 || p60 || CD antigen CD120a) [Cleaved into: Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein  || TBPI)","fantom5,HPRD",7995952,,,,LTB_TNFRSF1A,,,,,,,,,
2051,LTF,GP9,Lactotransferrin,Platelet glycoprotein IX,"GIG12,LF",,Lactoferrin || EC 3.4.21.- || Growth-inhibiting protein 12 || Talalactoferrin) [Cleaved into: Lactoferricin- || Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C,GP-IX || GPIX || Glycoprotein 9 || CD antigen CD42a,fantom5,,,,,LTF_GP9,,,,,,,,,
2052,LTF,GPR162,Lactotransferrin,Probable G-protein coupled receptor 162,"GIG12,LF",GRCA,Lactoferrin || EC 3.4.21.- || Growth-inhibiting protein 12 || Talalactoferrin) [Cleaved into: Lactoferricin- || Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C,Gene-rich cluster gene A protein,fantom5,,,,,LTF_GPR162,,,,,,,,,
2053,LTF,LRP1,Lactotransferrin,Prolow-density lipoprotein receptor-related protein 1,"GIG12,LF","A2MR,APR",Lactoferrin || EC 3.4.21.- || Growth-inhibiting protein 12 || Talalactoferrin) [Cleaved into: Lactoferricin- || Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C,LRP-1 || Alpha-2-macroglobulin receptor || A2MR || Apolipoprotein E receptor || APOER || CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subuni || LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subuni || LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domai || LRPICD),"HPMR,fantom5,HPRD","15178744,15",,,,LTF_LRP1,,,,,,,,,
2054,LTF,LRP11,Lactotransferrin,Low-density lipoprotein receptor-related protein 11,"GIG12,LF",,Lactoferrin || EC 3.4.21.- || Growth-inhibiting protein 12 || Talalactoferrin) [Cleaved into: Lactoferricin- || Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C,LRP-11,"HPMR,fantom5",1464627,,,,LTF_LRP11,,,,,,,,,
2055,LTF,TFRC,Lactotransferrin,Transferrin receptor protein 1,"GIG12,LF",,Lactoferrin || EC 3.4.21.- || Growth-inhibiting protein 12 || Talalactoferrin) [Cleaved into: Lactoferricin- || Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C,"TR || TfR || TfR1 || Trfr || T9 || p90 || CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum for || sTfR)",fantom5,,,,,LTF_TFRC,,,,,,,,,
2056,LUM,ITGB1,Lumican,Integrin beta-1,"LDC,SLRR2D","FNRB,MDF2,MSK12",Keratan sulfate proteoglycan lumican || KSPG lumican,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,reactome,,,,,LUM_ITGB1,,,,,,,,,
2057,LY6G5C,TMEM8A,Lymphocyte antigen 6 complex locus protein G5c,Post-GPI attachment to proteins factor 6,"C6orf20,G5C,NG33","PGAP6,TMEM6,TMEM8",,EC 3.1.1.4 || GPI processing phospholipase A2 || GPI-PLA2 || Protein M83 || Transmembrane protein 6 || Transmembrane protein 8 || Transmembrane protein 8A,fantom5,,,,,LY6G5C_TMEM8A,,,,,,,,,
2058,LY86,CD180,Lymphocyte antigen 86,CD180 antigen,MD1,"LY64,RP105",Ly-86 || Protein MD-1,Lymphocyte antigen 64 || Radioprotective 105 kDa protein || CD antigen CD180,"fantom5,HPRD","9763566,969",,,,LY86_CD180,,,,,,,,,
2059,LYPD3,AGR2,Ly6/PLAUR domain-containing protein 3,Anterior gradient protein 2 homolog,"C4.4A,UNQ491/PRO1007","AG2,UNQ515/PRO1030",GPI-anchored metastasis-associated protein C4.4A homolog || Matrigel-induced gene C4 protein || MIG-C4,AG-2 || hAG-2 || HPC8 || Secreted cement gland protein XAG-2 homolog,fantom5,,,,,LYPD3_AGR2,,,,,,,,,
2060,LYZ,ITGAL,Lysozyme C,Integrin alpha-L,LZM,CD11A,"EC 3.2.1.17 || 1,4-beta-N-acetylmuramidase C",CD11 antigen-like family member A || Leukocyte adhesion glycoprotein LFA-1 alpha chain || LFA-1A || Leukocyte function-associated molecule 1 alpha chain || CD antigen CD11a,fantom5,,,,,LYZ_ITGAL,,,,,,,,,
2061,MADCAM1,CD44,Mucosal addressin cell adhesion molecule 1,CD44 antigen,,"LHR,MDU2,MDU3,MIC4",MAdCAM-1 || hMAdCAM-1,CDw44 || Epican || Extracellular matrix receptor III || ECMR-III || GP90 lymphocyte homing/adhesion receptor || HUTCH-I || Heparan sulfate proteoglycan || Hermes antigen || Hyaluronate receptor || Phagocytic glycoprotein 1 || PGP-1 || Phagocytic glycoprotein I || PGP-I || CD antigen CD44,"HPRD,fantom5",2474557,,,,MADCAM1_CD44,,,,,,,,,
2062,MADCAM1,ITGA4,Mucosal addressin cell adhesion molecule 1,Integrin alpha-4,,CD49D,MAdCAM-1 || hMAdCAM-1,CD49 antigen-like family member D || Integrin alpha-IV || VLA-4 subunit alpha || CD antigen CD49d,"HPRD,fantom5,HPMR","8600538,10702270,9873398",,,,MADCAM1_ITGA4,,,,,,,,,
2064,MAPK1,FGFR2,Mitogen-activated protein kinase 1,Fibroblast growth factor receptor 2,"ERK2,PRKM1,PRKM2","BEK,KGFR,KSAM",MAP kinase 1 || MAPK 1 || EC 2.7.11.24 || ERT1 || Extracellular signal-regulated kinase 2 || ERK-2 || MAP kinase isoform p42 || p42-MAPK || Mitogen-activated protein kinase 2 || MAP kinase 2 || MAPK 2,FGFR-2 || EC 2.7.10.1 || K-sam || KGFR || Keratinocyte growth factor receptor || CD antigen CD332,reactome,,,,,MAPK1_FGFR2,,,,,,,,,
2065,MATN1,ITGA1,Cartilage matrix protein,Integrin alpha-1,"CMP,CRTM",,Matrilin-1,CD49 antigen-like family member A || Laminin and collagen receptor || VLA-1 || CD antigen CD49a,"HPRD,fantom5",10196235,,,,MATN1_ITGA1,,,,,,,,,
2066,MATN1,ITGB1,Cartilage matrix protein,Integrin beta-1,"CMP,CRTM","FNRB,MDF2,MSK12",Matrilin-1,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,fantom5,10196235,,,,MATN1_ITGB1,,,,,,,,,
2068,MBL2,CALCR,Mannose-binding protein C,Calcitonin receptor,"COLEC1,MBL",,MBP-C || Collectin-1 || MBP1 || Mannan-binding protein || Mannose-binding lectin,CT-R,"fantom5,HPRD",11560994,,,,MBL2_CALCR,,,,,,,,,
2069,MBL2,CD93,Mannose-binding protein C,Complement component C1q receptor,"COLEC1,MBL","C1QR1,MXRA4",MBP-C || Collectin-1 || MBP1 || Mannan-binding protein || Mannose-binding lectin,C1q/MBL/SPA receptor || C1qR || C1qR(p) || C1qRp || CDw93 || Complement component 1 q subcomponent receptor 1 || Matrix-remodeling-associated protein 4 || CD antigen CD93,"HPRD,fantom5",9476117,,,,MBL2_CD93,,,,,,,,,
2070,MDK,ALK,Midkine,ALK tyrosine kinase receptor,"MK1,NEGF2",,MK || Amphiregulin-associated protein || ARAP || Midgestation and kidney protein || Neurite outgrowth-promoting factor 2 || Neurite outgrowth-promoting protein,EC 2.7.10.1 || Anaplastic lymphoma kinase || CD antigen CD246,"fantom5,HPMR,HPRD",12122009,,,,MDK_ALK,,,,,,,,,
2071,MDK,GPC2,Midkine,Glypican-2 [Cleaved into: Secreted glypican-2],"MK1,NEGF2",,MK || Amphiregulin-associated protein || ARAP || Midgestation and kidney protein || Neurite outgrowth-promoting factor 2 || Neurite outgrowth-promoting protein,,fantom5,,,,,MDK_GPC2,,,,,,,,,
2073,MDK,ITGA6,Midkine,Integrin alpha-6,"MK1,NEGF2",,MK || Amphiregulin-associated protein || ARAP || Midgestation and kidney protein || Neurite outgrowth-promoting factor 2 || Neurite outgrowth-promoting protein,CD49 antigen-like family member F || VLA-6 || CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha- || Alpha6p),fantom5,,,,,MDK_ITGA6,,,,,,,,,
2074,MDK,ITGB1,Midkine,Integrin beta-1,"MK1,NEGF2","FNRB,MDF2,MSK12",MK || Amphiregulin-associated protein || ARAP || Midgestation and kidney protein || Neurite outgrowth-promoting factor 2 || Neurite outgrowth-promoting protein,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,fantom5,,,,,MDK_ITGB1,,,,,,,,,
2075,MDK,LRP1,Midkine,Prolow-density lipoprotein receptor-related protein 1,"MK1,NEGF2","A2MR,APR",MK || Amphiregulin-associated protein || ARAP || Midgestation and kidney protein || Neurite outgrowth-promoting factor 2 || Neurite outgrowth-promoting protein,LRP-1 || Alpha-2-macroglobulin receptor || A2MR || Apolipoprotein E receptor || APOER || CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subuni || LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subuni || LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domai || LRPICD),"fantom5,HPRD",10772929,,,,MDK_LRP1,,,,,,,,,
2076,MDK,LRP2,Midkine,Low-density lipoprotein receptor-related protein 2,"MK1,NEGF2",,MK || Amphiregulin-associated protein || ARAP || Midgestation and kidney protein || Neurite outgrowth-promoting factor 2 || Neurite outgrowth-promoting protein,LRP-2 || Glycoprotein 330 || gp330 || Megalin,"fantom5,HPRD",10772929,,,,MDK_LRP2,,,,,,,,,
2077,MDK,PTPRZ1,Midkine,Receptor-type tyrosine-protein phosphatase zeta,"MK1,NEGF2","HTPZP2,PTPRZ,PTPRZ2,PTPZ",MK || Amphiregulin-associated protein || ARAP || Midgestation and kidney protein || Neurite outgrowth-promoting factor 2 || Neurite outgrowth-promoting protein,R-PTP-zeta || EC 3.1.3.48 || Protein-tyrosine phosphatase receptor type Z polypeptide 1 || Protein-tyrosine phosphatase receptor type Z polypeptide 2 || R-PTP-zeta-2,"HPRD,fantom5,uniprot",10212223,,,,MDK_PTPRZ1,,,,,,,,,
2078,MDK,SDC1,Midkine,Syndecan-1,"MK1,NEGF2",SDC,MK || Amphiregulin-associated protein || ARAP || Midgestation and kidney protein || Neurite outgrowth-promoting factor 2 || Neurite outgrowth-promoting protein,SYND1 || CD antigen CD138,"fantom5,HPRD",9089390,,,,MDK_SDC1,,,,,,,,,
2079,MDK,SDC3,Midkine,Syndecan-3,"MK1,NEGF2",KIAA0468,MK || Amphiregulin-associated protein || ARAP || Midgestation and kidney protein || Neurite outgrowth-promoting factor 2 || Neurite outgrowth-promoting protein,SYND3,"HPRD,fantom5",9089390,,,,MDK_SDC3,,,,,,,,,
2080,MDK,SDC4,Midkine,Syndecan-4,"MK1,NEGF2",,MK || Amphiregulin-associated protein || ARAP || Midgestation and kidney protein || Neurite outgrowth-promoting factor 2 || Neurite outgrowth-promoting protein,SYND4 || Amphiglycan || Ryudocan core protein,"HPRD,fantom5",8621465,,,,MDK_SDC4,,,,,,,,,
2081,MDK,TSPAN1,Midkine,Tetraspanin-1,"MK1,NEGF2",,MK || Amphiregulin-associated protein || ARAP || Midgestation and kidney protein || Neurite outgrowth-promoting factor 2 || Neurite outgrowth-promoting protein,Tspan-1 || Tetraspan NET-1 || Tetraspanin TM4-C,"HPRD,fantom5",18851943,,,,MDK_TSPAN1,,,,,,,,,
2082,MEPE,PHEX,Matrix extracellular phosphoglycoprotein,Phosphate-regulating neutral endopeptidase,,PEX,Osteoblast/osteocyte factor 45 || OF45,EC 3.4.24.- || Metalloendopeptidase homolog PEX || Vitamin D-resistant hypophosphatemic rickets protein || X-linked hypophosphatemia protein || HYP,fantom5,15664000,,,,MEPE_PHEX,,,,,,,,,
2084,MFAP5,NOTCH1,Microfibrillar-associated protein 5,Neurogenic locus notch homolog protein 1,MAGP2,TAN1,MFAP-5 || MP25 || Microfibril-associated glycoprotein 2 || MAGP-2,Notch 1 || hN1 || Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncatio || NEXT); Notch 1 intracellular domai || NICD),fantom5,16492672,,,,MFAP5_NOTCH1,,,,,,,,,
2085,MFGE8,ITGAV,Lactadherin,Integrin alpha-V,,"MSK8,VNRA,VTNR",Breast epithelial antigen BA46 || HMFG || MFGM || Milk fat globule-EGF factor 8 || MFG-E8 || SED1) [Cleaved into: Lactadherin short form; Medin,Vitronectin receptor || Vitronectin receptor subunit alpha || CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain,fantom5,24441829,,,,MFGE8_ITGAV,,,,,,,,,
2086,MFGE8,ITGB3,Lactadherin,Integrin beta-3,,GP3A,Breast epithelial antigen BA46 || HMFG || MFGM || Milk fat globule-EGF factor 8 || MFG-E8 || SED1) [Cleaved into: Lactadherin short form; Medin,Platelet membrane glycoprotein IIIa || GPIIIa || CD antigen CD61,fantom5,24441829,,,,MFGE8_ITGB3,,,,,,,,,
2087,MFGE8,PDGFRB,Lactadherin,Platelet-derived growth factor receptor beta,,"PDGFR,PDGFR1",Breast epithelial antigen BA46 || HMFG || MFGM || Milk fat globule-EGF factor 8 || MFG-E8 || SED1) [Cleaved into: Lactadherin short form; Medin,PDGF-R-beta || PDGFR-beta || EC 2.7.10.1 || Beta platelet-derived growth factor receptor || Beta-type platelet-derived growth factor receptor || CD140 antigen-like family member B || Platelet-derived growth factor receptor 1 || PDGFR-1 || CD antigen CD140b,fantom5,21868707,,,,MFGE8_PDGFRB,,,,,,,,,
2088,MFI2,TFRC,Antigen p97,Transferrin receptor protein 1,hCG_41190,,"Melanoma associated) identified by monoclonal antibodies 133.2 and 96. || Antigen p9 || Melanoma associated) identified by monoclonal antibodies 133.2 and 96.5, isoform CRA_b || Melanoma-associated antigen p97, isoform 2","TR || TfR || TfR1 || Trfr || T9 || p90 || CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum for || sTfR)",fantom5,,,,,MFI2_TFRC,,,,,,,,,
2089,MFNG,NOTCH1,"Beta-1,3-N-acetylglucosaminyltransferase manic fringe",Neurogenic locus notch homolog protein 1,,TAN1,EC 2.4.1.222 || O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,Notch 1 || hN1 || Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncatio || NEXT); Notch 1 intracellular domai || NICD),"fantom5,HPRD","10935626,12",,,,MFNG_NOTCH1,,,,,,,,,
2090,MFNG,NOTCH2,"Beta-1,3-N-acetylglucosaminyltransferase manic fringe",Neurogenic locus notch homolog protein 2,,,EC 2.4.1.222 || O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,Notch 2 || hN2) [Cleaved into: Notch 2 extracellular truncatio || N2ECD); Notch 2 intracellular domai || N2ICD),"fantom5,HPRD",11346656,,,,MFNG_NOTCH2,,,,,,,,,
2091,MIA,CDH19,Melanoma-derived growth regulatory protein,Cadherin-19,,"CDH7L2,UNQ478/PRO941",Melanoma inhibitory activity protein,,fantom5,,,,,MIA_CDH19,,,,,,,,,
2092,MIA,CDH7,Melanoma-derived growth regulatory protein,Cadherin-7,,CDH7L1,Melanoma inhibitory activity protein,,fantom5,19200257,,,,MIA_CDH7,,,,,,,,,
2093,MLLT4,EPHA7,Afadin,Ephrin type-A receptor 7,,"EHK3,HEK11",,EC 2.7.10.1 || EPH homology kinase 3 || EHK-3 || EPH-like kinase 11 || EK11 || hEK11,"fantom5,HPRD",9707552,,,,MLLT4_EPHA7,,,,,,,,,
2094,MLLT4,EPHB2,Afadin,Ephrin type-B receptor 2,,"DRT,EPHT3,EPTH3,ERK,HEK5,TYRO5",,EC 2.7.10.1 || Developmentally-regulated Eph-related tyrosine kinase || ELK-related tyrosine kinase || EPH tyrosine kinase 3 || EPH-like kinase 5 || EK5 || hEK5 || Renal carcinoma antigen NY-REN-47 || Tyrosine-protein kinase TYRO5 || Tyrosine-protein kinase receptor EPH-3,"HPRD,fantom5",9707552,,,,MLLT4_EPHB2,,,,,,,,,
2095,MLLT4,EPHB3,Afadin,Ephrin type-B receptor 3,,"ETK2,HEK2,TYRO6",,EC 2.7.10.1 || EPH-like tyrosine kinase 2 || EPH-like kinase 2 || Embryonic kinase 2 || EK2 || hEK2 || Tyrosine-protein kinase TYRO6,"HPRD,fantom5",9707552,,,,MLLT4_EPHB3,,,,,,,,,
2096,MLLT4,EPHB6,Afadin,Ephrin type-B receptor 6,,,,HEP || Tyrosine-protein kinase-defective receptor EPH-6,"HPRD,fantom5",9707552,,,,MLLT4_EPHB6,,,,,,,,,
2097,MLLT4,F11R,Afadin,Junctional adhesion molecule A,,"JAM1,JCAM,UNQ264/PRO301",,JAM-A || Junctional adhesion molecule 1 || JAM-1 || Platelet F11 receptor || Platelet adhesion molecule 1 || PAM-1 || CD antigen CD321,"fantom5,HPRD",10856295,,,,MLLT4_F11R,,,,,,,,,
2098,MLLT4,NECTIN3,Afadin,Nectin-3,,"PRR3,PVRL3",,CDw113 || Nectin cell adhesion molecule 3 || Poliovirus receptor-related protein 3 || CD antigen CD113,"fantom5,HPRD",,,,,MLLT4_NECTIN3,,,,,,,,,
2099,MLLT4,NECTIN4,Afadin,Nectin-4,,"LNIR,PRR4,PVRL4",,Ig superfamily receptor LNIR || Nectin cell adhesion molecule 4 || Poliovirus receptor-related protein 4) [Cleaved into: Processed poliovirus receptor-related protein 4,"fantom5,HPRD",,,,,MLLT4_NECTIN4,,,,,,,,,
2100,MLLT4,NRXN2,Afadin,Neurexin-2,,KIAA0921,,Neurexin II-alpha || Neurexin-2-alpha || Neurexin-2-beta || Neurexin II-beta,"fantom5,HPRD",9707552,,,,MLLT4_NRXN2,,,,,,,,,
2101,MLLT4,NRXN3,Afadin,Neurexin-3,,"C14orf60,KIAA0743",,"Neurexin III-alpha || Neurexin-3-alpha || Neurexin-3-beta || Neurexin III-beta) [Cleaved into: Neurexin-3-beta, soluble form; Neurexin-3-beta, C-terminal fragmen || NRXN3-CTF)","HPRD,fantom5",9707552,,,,MLLT4_NRXN3,,,,,,,,,
2102,MLLT4,NECTIN1,Afadin,Nectin Cell Adhesion Molecule 1,,"CD111, PVRL1, CLPED1, HV1S, OFC7, ED4, HVEC, HIgR, PRR1",,CD111 Antigen ||Poliovirus Receptor-Related Protein || Herpes Virus Entry Mediator C || Herpesvirus Ig-Like Receptor || Ectodermal Dysplasia 4 || Herpesvirus Entry Mediator C ||,"HPRD,fantom5","10225955,11",,,,MLLT4_NECTIN1,,,,,,,,,
2103,MLLT4,PVRL2,Afadin,Poliovirus receptor related 2,,,,Fragment,"HPRD,fantom5","10733589,1",,,,MLLT4_PVRL2,,,,,,,,,
2104,MLN,MLNR,Promotilin [Cleaved into: Motilin; Motilin-associated peptide,Motilin receptor,,"GPR38,MTLR,MTLR1",MAP),G-protein coupled receptor 38,"HPRD,IUPHAR,fantom5,HPMR","10381885,15677347,11461914,11781320,16531413,11259768,10381885,12054506",,,,MLN_MLNR,,,,,,,,,
